sLap,u,Kt,aTheta,xi,yi
0.0,-1.7245280950683377e-13,4.5225047452841877e-07,-2.881559777300971,4.927473156446004,1.3103181744474617
0.4828176716109343,5.1036153874355367e-14,4.5225191115400254e-07,-2.881559558942427,4.460887091846448,1.1861797503342861
2.142016579729232,2.1444304958578087e-11,4.522601337538512e-07,-2.88155880857261,2.857468172686461,0.759578312947307
3.8012154878475295,1.1234044064360683e-10,4.5236151158236076e-07,-2.8815580581118656,1.2540495736551593,0.33297567233038844
4.284033159458464,1.588991741938714e-10,4.5242505169371805e-07,-2.881557839692701,0.787463722474722,0.20883644606391888
4.766850831069399,2.1524159933838555e-10,4.525155498445024e-07,-2.881557621225,0.3208778984208328,0.08469711784052228
6.426049739187697,5.00969822351706e-10,4.5308780155317525e-07,-2.8815568700206873,-1.282540193973488,-0.3419074270056151
8.085248647305994,9.452099318789718e-10,4.542656345920039e-07,-2.881556117364503,-2.885957965590495,-0.7685131775101968
8.568066318916928,1.1072269480327827e-09,4.547598536295585e-07,-2.8815558979288842,-3.352543575792842,-0.8926533095058897
9.050883990527863,1.2846105500961845e-09,4.5533671757193486e-07,-2.8815556782174094,-3.8191291587118275,-1.0167935440471296
10.71008289864616,2.013914246582939e-09,4.5804724556752633e-07,-2.881554920663393,-5.422546421001382,-1.4434012088782948
12.369281806764459,2.930728010541961e-09,4.621233917096205e-07,-2.8815541574791523,-7.025963358911169,-1.870010092898322
12.852099478375393,3.2331183242535406e-09,4.6361066774966497e-07,-2.8815539340141925,-7.492548725576976,-1.994151140232136
13.334917149986328,3.5505988638662492e-09,4.6524721707424506e-07,-2.881553709777208,-7.9591340644084045,-2.118292292181691
14.994116058104625,4.7590795135298445e-09,4.721173437109463e-07,-2.8815529324368816,-9.56255048299104,-2.544903128097129
16.653314966222922,6.138085892050794e-09,4.811340481736142e-07,-2.881552141916846,-11.165966567140059,-2.9715152209789557
17.136132637833857,6.5692502509017356e-09,4.842016493821715e-07,-2.881551908893386,-11.632551683015741,-3.095657210906102
17.61895030944479,7.013266985721286e-09,4.874793789982691e-07,-2.8815516743235525,-12.099136769803975,-3.2197993101578013
19.27814921756309,8.628226564659958e-09,5.004389071762886e-07,-2.8815508551313833,-13.702552311487267,-3.64641344188495
20.937348125681385,1.0363579173983564e-08,5.161778525166179e-07,-2.8815500121309743,-15.305967498612564,-4.073028906204653
21.42016579729232,1.088785792905973e-08,5.213085269075881e-07,-2.881549761688978,-15.772552349028787,-4.197171893851386
21.902983468903255,1.141906337261182e-08,5.26692348539347e-07,-2.8815495087002327,-16.239137168119974,-4.321314999231615
23.562182377021553,1.3291637322280667e-08,5.471856007297476e-07,-2.881548618246849,-17.842551771168587,-4.747932658771486
